...Mass Properties...
15 Num Comps
15 Total Num Meshes
35600 Total Num Tris

4.470566419281916e+02             Total Mass
1.868022255984330e+01 -6.362392677684093e-06 -1.320838099788682e-02       Center of Gravity
4.203385557795086e+03 3.564830681979574e+04 3.859012263687652e+04       Ixx, Iyy, Izz
-2.560215596683015e+00 1.316300404537315e+03 3.847398374494026e+00       Ixy, Ixz, Iyz
4.470566419281916e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
3.038591195889335e+01	3.991313378493172e+02	1.684698157298132e+01	-7.126350740543563e-06	-1.720262966118059e-01	3.870560873489481e+03	2.271794192362133e+04	2.574966128488111e+04	-2.390404624599768e+00	1.593407149180530e+02	3.491367804889014e+00	3.991313378493172e+02
3.117515642535811e+01	4.065245483069399e+02	1.710755922468380e+01	-6.996748208451173e-06	-1.611187897143501e-01	3.885027869381342e+03	2.421739952690730e+04	2.724698479189874e+04	-2.446165856829758e+00	2.217080702543109e+02	3.558905768348188e+00	4.065245483069399e+02
3.196440089182288e+01	4.131575745107243e+02	1.734607795497771e+01	-6.884419118854518e-06	-1.493155538933895e-01	3.898528613635734e+03	2.566756950666012e+04	2.869318636606367e+04	-2.492717031493228e+00	2.929864810890236e+02	3.620625623301758e+00	4.131575745107243e+02
3.275364535828763e+01	4.189344919068639e+02	1.755854134933618e+01	-6.789486089142688e-06	-1.370352919107846e-01	3.911208471943211e+03	2.703007018834826e+04	3.004984396535081e+04	-2.528291709754741e+00	3.711526342783474e+02	3.676239214561122e+00	4.189344919068639e+02
3.354288982475240e+01	4.239624395686664e+02	1.774810641463812e+01	-6.708966737618715e-06	-1.236461532404817e-01	3.925166100780006e+03	2.831178680219344e+04	3.132219503223284e+04	-2.541425912490041e+00	4.608079352410626e+02	3.718869314082042e+00	4.239624395686664e+02
3.433213429121717e+01	4.289856977776033e+02	1.794229902898363e+01	-6.630407306817214e-06	-1.058243926152115e-01	3.947213816347280e+03	2.969718390410796e+04	3.269088785737905e+04	-2.550010992203644e+00	5.861094744057483e+02	3.752353059231631e+00	4.289856977776033e+02
3.512137875768192e+01	4.342858224168531e+02	1.815195649199497e+01	-6.549488282247862e-06	-8.280578907850221e-02	3.983864319195201e+03	3.127300462648499e+04	3.424326794089726e+04	-2.560526481710931e+00	7.557431037971801e+02	3.780366396066086e+00	4.342858224168531e+02
3.591062322414669e+01	4.394485321609093e+02	1.836058807241849e+01	-6.472543874673960e-06	-5.702274221458953e-02	4.038086403640893e+03	3.292274651094843e+04	3.586716228594058e+04	-2.565674143594777e+00	9.545870030220332e+02	3.814174179993381e+00	4.394485321609093e+02
3.669986769061145e+01	4.437437039308862e+02	1.853810125266192e+01	-6.409893548618499e-06	-3.281850246835220e-02	4.106501540683526e+03	3.439884899880838e+04	3.732180734274663e+04	-2.562054579684919e+00	1.149650773385334e+03	3.836483731705828e+00	4.437437039308862e+02
3.748911215707621e+01	4.461898691741022e+02	1.864199716648891e+01	-6.374752323111765e-06	-1.775988215013542e-02	4.168255946469776e+03	3.530480337360630e+04	3.822564514825209e+04	-2.560069071249609e+00	1.276283003937670e+03	3.845279843825772e+00	4.461898691741022e+02
3.827835662354097e+01	4.469696541501518e+02	1.867625483464769e+01	-6.363630905710360e-06	-1.360558156419683e-02	4.199119040245021e+03	3.561176984835975e+04	3.855004433503374e+04	-2.560237891765725e+00	1.312680238041026e+03	3.847380831364922e+00	4.469696541501518e+02
3.906760109000574e+01	4.470566419281930e+02	1.868022255984324e+01	-6.362392677574296e-06	-1.320838099788672e-02	4.203385557795072e+03	3.564830681979645e+04	3.859012263687647e+04	-2.560215596686127e+00	1.316300404537315e+03	3.847398374493902e+00	4.470566419281930e+02
